Sample,total_reads,clean_reads,discard_reads,Q20,Q30,GC
GK250830-01-LHJ2573_L8_1.fq,38051959,37917428,134531,0.9972131954730685,0.9825035683679108,0.34641766454553125
GK250830-01-LHJ2573_L8_2.fq,36914386,36829757,84629,0.9971108197464711,0.9811886044573505,0.4511642277013485
